date,title,link
2022-02-16,We are hiring contract developers to build new features in PyPI,http://pyfound.blogspot.com/2022/02/we-are-hiring-contract-developers-to.html
2022-02-03,Python 3.11.0a5 is available,https://pythoninsider.blogspot.com/2022/02/python-3110a5-is-available.html
2022-01-14,"Python 3.10.2, 3.9.10, and 3.11.0a4 are now available",https://pythoninsider.blogspot.com/2022/01/python-3102-3910-and-3110a4-are-now.html
2022-01-05,Announcing Python Software Foundation Fellow Members for Q4 2021! 🎉,http://pyfound.blogspot.com/2022/01/announcing-python-software-foundation.html
2021-12-15,Georgi Ker Awarded the PSF Community Service Award for Q4 2020,http://pyfound.blogspot.com/2021/12/georgi-ker-awarded-psf-community.html
